"Player","Team","REC","YDS","TDS","FL","FPTS"
"Demetrius Harris","KC ","1.3","12.7","0.1","0.0","2.0"
"","high","1.8","15.9","0.2","0.0","2.5"
"","low","1.0","9.7","0.1","0.0","1.7"
"Logan Thomas","BUF ","1.1","11.8","0.1","0.0","1.9"
"","high","1.8","17.8","0.2","0.0","3.5"
"","low","0.3","3.4","0.1","0.0","0.6"
"Jeff Heuerman","DEN ","1.0","11.7","0.1","0.0","1.6"
"","high","1.8","19.0","0.2","0.0","2.5"
"","low","0.5","5.8","0.0","0.0","1.0"
"Nick Boyle","BAL ","1.1","9.9","0.1","0.0","1.3"
"","high","1.5","14.0","0.1","0.0","3.2"
"","low","0.4","3.3","0.0","0.0","0.5"
"Garrett Celek","SF ","1.0","9.3","0.1","0.0","1.3"
"","high","1.8","17.1","0.2","0.0","2.9"
"","low","0.5","5.1","0.0","0.0","0.8"
"Michael Hoomanawanui","NO ","0.9","8.8","0.1","0.1","1.3"
"","high","1.7","15.3","0.2","0.0","2.7"
"","low","0.2","1.4","0.0","0.1","0.3"
"Eric Tomlinson","NYJ ","0.7","7.6","0.1","0.0","1.1"
"","high","1.2","12.0","0.1","0.0","1.7"
"","low","0.2","2.3","0.0","0.0","0.5"
"Anthony Fasano","MIA ","0.7","6.7","0.0","0.0","0.9"
"","high","1.6","13.9","0.1","0.0","1.9"
"","low","0.2","1.8","0.0","0.0","0.3"
"Maxx Williams","BAL ","1.0","7.9","0.0","0.1","0.8"
"","high","1.3","9.4","0.1","0.0","2.1"
"","low","0.5","5.0","0.0","0.2","0.7"
"Geoff Swaim","DAL ","0.5","5.4","0.0","0.0","0.8"
"","high","0.9","11.2","0.1","0.0","1.9"
"","low","0.2","2.3","0.0","0.0","0.3"
"Adam Shaheen","CHI ","0.5","5.3","0.0","0.0","0.8"
"","high","1.0","11.1","0.1","0.0","1.7"
"","low","0.1","1.0","0.0","0.0","0.2"
"C.J. Uzomah","CIN ","0.5","5.9","0.0","0.0","0.8"
"","high","1.0","12.0","0.1","0.0","1.5"
"","low","0.3","2.7","0.0","0.0","0.4"
"Josh Hill","NO ","0.6","5.1","0.1","0.0","0.8"
"","high","1.0","7.0","0.1","0.0","1.3"
"","low","0.2","1.6","0.0","0.0","0.2"
"Jordan Leggett","NYJ ","0.5","5.1","0.0","0.0","0.7"
"","high","1.2","13.1","0.1","0.0","1.8"
"","low","0.0","0.0","0.0","0.0","0.0"
"James Hanna","DAL ","0.5","5.8","0.0","0.0","0.7"
"","high","0.7","7.0","0.0","0.0","1.7"
"","low","0.3","4.5","0.0","0.0","0.6"
"Brent Celek","PHI ","0.5","5.4","0.0","0.0","0.6"
"","high","0.8","6.3","0.0","0.0","1.2"
"","low","0.4","4.5","0.0","0.0","0.5"
"Dwayne Allen","NE ","0.4","3.8","0.0","0.0","0.6"
"","high","0.6","6.3","0.1","0.0","1.2"
"","low","0.2","2.0","0.0","0.0","0.3"
"David Morgan","MIN ","0.4","3.5","0.0","0.0","0.5"
"","high","0.8","6.5","0.1","0.0","1.2"
"","low","0.2","1.8","0.0","0.0","0.2"
"Levine Toilolo","ATL ","0.4","4.4","0.0","0.0","0.5"
"","high","0.9","7.6","0.1","0.0","1.1"
"","low","0.1","1.6","0.0","0.0","0.2"
"Darrell Daniels","IND ","0.4","4.3","0.0","0.0","0.5"
"","high","0.6","6.3","0.0","0.0","0.9"
"","low","0.2","1.9","0.0","0.0","0.2"
"Clark Harris","CIN ","0.3","3.6","0.0","0.0","0.5"
"","high","0.3","3.6","0.0","0.0","0.6"
"","low","0.3","3.6","0.0","0.0","0.6"
"Cole Hikutini","SF ","0.4","4.2","0.0","0.0","0.4"
"","high","0.5","5.1","0.0","0.0","1.2"
"","low","0.3","3.3","0.0","0.0","0.4"
"Clive Walford","OAK ","0.4","3.8","0.0","0.0","0.4"
"","high","0.8","6.1","0.0","0.0","0.8"
"","low","0.2","2.0","0.0","0.0","0.3"
"Michael Roberts","DET ","0.3","2.9","0.0","0.0","0.4"
"","high","0.3","4.1","0.1","0.0","0.7"
"","low","0.2","2.2","0.0","0.0","0.2"
"Eric Saubert","ATL ","0.2","3.0","0.0","0.0","0.4"
"","high","0.3","3.4","0.0","0.0","0.6"
"","low","0.2","2.6","0.0","0.0","0.3"
"Daniel Brown","CHI ","0.3","3.1","0.0","0.0","0.4"
"","high","0.3","3.7","0.0","0.0","0.6"
"","low","0.3","2.4","0.0","0.0","0.2"
"Blake Bell","MIN ","0.3","3.1","0.0","0.0","0.4"
"","high","0.3","4.2","0.0","0.0","0.5"
"","low","0.2","2.1","0.0","0.0","0.4"
"Lee Smith","OAK ","0.3","2.5","0.0","0.0","0.3"
"","high","0.5","4.2","0.0","0.0","1.1"
"","low","0.1","1.0","0.0","0.0","0.2"
"Brandon Williams","IND ","0.3","3.2","0.0","0.0","0.3"
"","high","0.4","3.8","0.0","0.0","0.9"
"","low","0.2","2.5","0.0","0.0","0.3"
"Chris Manhertz","CAR ","0.2","2.6","0.0","0.0","0.3"
"","high","0.5","6.0","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0"
