"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","7.4","33.3","0.2","2.2","15.4","0.1","0.1","6.9"
"Javorius Allen","BAL ","9.8","37.6","0.2","3.4","22.0","0.1","0.1","7.7"
"","high","11.2","46.0","0.3","4.0","25.5","0.1","0.1","12.3"
"","low","8.4","33.0","0.1","2.5","17.9","0.1","0.1","6.2"
"Robert Kelley","WAS ","12.6","52.5","0.3","0.9","6.7","0.0","0.1","7.7"
"","high","15.9","69.2","0.5","1.5","11.0","0.0","0.1","11.0"
"","low","10.0","40.0","0.2","0.4","3.0","0.0","0.1","5.5"
"Latavius Murray","MIN ","12.0","43.2","0.4","1.3","9.4","0.0","0.1","7.4"
"","high","12.5","50.0","0.5","2.1","15.3","0.0","0.1","10.4"
"","low","11.6","35.5","0.3","0.5","4.0","0.0","0.1","5.9"
"Wendell Smallwood","PHI ","9.6","38.7","0.3","1.7","14.9","0.1","0.1","7.2"
"","high","12.8","52.0","0.4","2.1","18.2","0.1","0.1","11.2"
"","low","6.5","26.2","0.2","1.4","11.6","0.0","0.1","5.6"
"Dion Lewis","NE ","9.8","47.7","0.3","1.2","8.8","0.0","0.1","7.5"
"","high","11.0","50.8","0.4","1.9","12.9","0.0","0.1","8.9"
"","low","7.9","45.1","0.3","0.8","6.0","0.0","0.1","7.2"
"Isaiah Crowell","CLE ","13.4","47.4","0.2","2.0","14.3","0.0","0.1","7.4"
"","high","14.5","49.3","0.3","2.7","19.5","0.0","0.1","8.9"
"","low","12.5","45.0","0.2","1.6","11.0","0.0","0.1","7.4"
"Alex Collins","BAL ","12.7","53.1","0.3","1.1","7.1","0.0","0.3","7.3"
"","high","16.0","67.6","0.4","2.1","13.1","0.1","0.1","9.8"
"","low","9.1","36.1","0.1","0.3","2.0","0.0","0.4","5.7"
"James White","NE ","3.4","15.5","0.1","4.0","33.0","0.2","0.1","6.7"
"","high","4.0","17.3","0.2","4.5","36.0","0.3","0.1","10.6"
"","low","3.1","13.3","0.1","3.6","29.3","0.2","0.1","6.2"
"Duke Johnson","CLE ","4.7","18.7","0.1","4.3","35.1","0.1","0.1","6.5"
"","high","5.2","20.4","0.1","4.6","37.2","0.2","0.1","10.4"
"","low","4.0","15.2","0.1","4.1","31.2","0.1","0.1","6.4"
"Matt Forte","NYJ ","7.9","33.4","0.2","2.1","17.0","0.1","0.1","6.2"
"","high","11.7","50.3","0.2","2.8","20.4","0.1","0.1","7.5"
"","low","5.7","23.5","0.1","1.6","12.2","0.0","0.1","6.2"
"Thomas Rawls","SEA ","9.3","35.5","0.3","1.2","9.6","0.1","0.2","6.2"
"","high","10.4","40.7","0.4","2.4","19.1","0.2","0.1","7.3"
"","low","8.3","28.9","0.1","0.5","3.8","0.0","0.3","6.3"
"Marlon Mack","IND ","7.8","31.7","0.2","2.5","19.3","0.0","0.1","6.1"
"","high","8.5","37.0","0.2","3.9","27.0","0.0","0.1","7.6"
"","low","6.8","28.0","0.2","1.8","13.7","0.0","0.1","6.3"
"Tarik Cohen","CHI ","5.9","26.3","0.1","3.1","26.6","0.1","0.2","6.0"
"","high","8.6","40.9","0.1","3.6","34.9","0.1","0.1","10.2"
"","low","4.1","17.0","0.1","2.7","22.0","0.1","0.3","4.9"
"Giovani Bernard","CIN ","5.2","21.0","0.1","2.3","23.8","0.1","0.1","6.0"
"","high","6.0","24.3","0.2","2.7","29.7","0.2","0.0","8.8"
"","low","4.5","19.0","0.1","2.0","17.0","0.1","0.1","4.9"
"Mike Gillislee","NE ","8.7","37.7","0.4","0.3","1.9","0.0","0.2","6.0"
"","high","9.4","41.5","0.5","0.6","4.1","0.0","0.1","7.0"
"","low","7.8","33.6","0.2","0.0","0.0","0.0","0.2","5.0"
"Eddie Lacy","SEA ","9.5","34.5","0.2","1.3","9.6","0.0","0.1","5.6"
"","high","10.2","39.0","0.3","2.6","20.0","0.1","0.1","6.5"
"","low","8.4","26.8","0.1","0.5","4.0","0.0","0.1","5.3"
"Theo Riddick","DET ","2.5","8.9","0.1","3.7","27.5","0.2","0.1","4.8"
"","high","3.1","11.6","0.1","4.6","32.9","0.2","0.1","10.7"
"","low","1.6","5.5","0.0","2.7","21.1","0.1","0.1","3.8"
"Jamaal Charles","DEN ","6.5","30.8","0.2","1.3","10.5","0.0","0.2","4.8"
"","high","7.5","36.0","0.2","1.8","14.5","0.1","0.1","6.1"
"","low","5.7","25.1","0.1","0.8","6.6","0.0","0.3","4.9"
"Matt Breida","SF ","5.8","23.3","0.1","1.8","13.0","0.0","0.1","4.1"
"","high","6.5","25.6","0.1","2.2","16.0","0.1","0.1","6.8"
"","low","5.5","21.6","0.1","1.4","9.0","0.0","0.1","4.1"
"D'Onta Foreman","HOU ","7.5","29.4","0.1","0.7","5.8","0.0","0.2","4.1"
"","high","9.4","35.8","0.3","0.9","7.9","0.0","0.1","5.0"
"","low","6.0","21.7","0.1","0.5","3.5","0.0","0.2","4.0"
"Mike Tolbert","BUF ","5.5","21.1","0.2","0.8","5.5","0.0","0.1","3.9"
"","high","7.8","29.6","0.3","0.9","7.4","0.1","0.0","6.4"
"","low","2.2","9.0","0.1","0.5","3.0","0.0","0.1","1.7"
"C.J. Prosise","SEA ","2.7","10.1","0.1","1.8","20.6","0.1","0.1","3.8"
"","high","3.3","13.9","0.1","2.2","30.5","0.1","0.1","6.3"
"","low","1.7","6.1","0.0","1.4","11.9","0.1","0.1","2.0"
"Terrance West","BAL ","5.3","18.3","0.1","1.2","10.9","0.0","0.0","3.7"
"","high","5.3","18.3","0.1","1.2","10.9","0.0","0.0","3.7"
"","low","5.3","18.3","0.1","1.2","10.9","0.0","0.0","3.7"
"Rex Burkhead","NE ","3.1","13.1","0.1","1.2","10.4","0.1","0.1","3.5"
"","high","4.0","16.7","0.2","1.6","14.9","0.1","0.0","4.9"
"","low","2.5","9.0","0.1","0.8","6.0","0.0","0.1","2.0"
"Austin Ekeler","LAC ","3.7","14.5","0.1","1.6","12.6","0.0","0.1","3.2"
"","high","4.6","19.1","0.1","1.8","14.9","0.1","0.0","5.3"
"","low","3.0","12.0","0.0","1.4","10.0","0.0","0.1","2.5"
"Charcandrick West","KC ","2.1","7.9","0.1","1.4","10.5","0.1","0.1","3.1"
